dataset, coarsening_ratio, len_subgraph_list, tot_num_extra_nodes, avg_extra_nodes, max_extra_nodes, tot_num_orig_nodes, tot_num_orig_nodes_squared, sum_squares_subgraph_nodes
cora, 0.0, 162, 827, 5.104938271604938, 409, 2708, 7333264, 5345530.999999999
cora, 0.1, 408, 3705, 9.080882352941176, 185, 2708, 7333264, 370256.99999999994
cora, 0.3, 928, 5725, 6.169181034482759, 176, 2708, 7333264, 184105.0
cora, 0.5, 1445, 7035, 4.868512110726644, 166, 2708, 7333264, 156097.0
cora, 0.7, 1957, 8366, 4.27491057741441, 166, 2708, 7333264, 142886.0
cora, 1.0, 2708, 10556, 3.8980797636632203, 168, 2708, 7333264, 138978.0
citeseer, 0.0, 912, 1088, 1.1929824561403508, 48, 3327, 11068929, 2601549.0
citeseer, 0.1, 1123, 2911, 2.5921638468388246, 107, 3327, 11068929, 216828.0
citeseer, 0.3, 1654, 4710, 2.84764207980653, 100, 3327, 11068929, 102223.00000000001
citeseer, 0.5, 2152, 5916, 2.7490706319702602, 100, 3327, 11068929, 87121.0
citeseer, 0.7, 2663, 7124, 2.6751783702591063, 100, 3327, 11068929, 83615.0
citeseer, 1.0, 3327, 9104, 2.7363991584009617, 99, 3327, 11068929, 84474.99999999999
pubmed, 0.0, 20, 1044, 52.2, 390, 19717, 388760089, 369353389.0
pubmed, 0.1, 1972, 49636, 25.170385395537526, 276, 19717, 388760089, 5141431.0
pubmed, 0.3, 5917, 64090, 10.831502450566166, 248, 19717, 388760089, 2604917.0
pubmed, 0.5, 9859, 68644, 6.9625722689927985, 248, 19717, 388760089, 2505439.0
pubmed, 0.7, 13802, 74025, 5.363353137226489, 248, 19717, 388760089, 2301522.0000000005
pubmed, 1.0, 19717, 88648, 4.496018664096972, 171, 19717, 388760089, 1684344.9999999998
dblp, 0.0, 1308, 2741, 2.095565749235474, 447, 17716, 313856656, 229718523.00000003
dblp, 0.1, 2911, 56380, 19.367914805908622, 534, 17716, 313856656, 9356230.0
dblp, 0.3, 6252, 70677, 11.304702495201536, 371, 17716, 313856656, 3869199.0000000005
dblp, 0.5, 9558, 78059, 8.166875915463486, 371, 17716, 313856656, 3560741.0
dblp, 0.7, 12849, 86553, 6.736166238617791, 371, 17716, 313856656, 3206609.0
dblp, 1.0, 17716, 105734, 5.96827726349063, 339, 17716, 313856656, 2408740.0
Physics, 0.0, 35, 3319, 94.82857142857142, 1478, 34493, 1189767049, 1165802647.9999998
Physics, 0.1, 3450, 258602, 74.95710144927536, 1278, 34493, 1189767049, 76603344.99999999
Physics, 0.3, 10348, 305705, 29.542423656745264, 697, 34493, 1189767049, 31702052.000000004
Physics, 0.5, 17247, 340757, 19.757465066388356, 697, 34493, 1189767049, 30649786.0
Physics, 0.7, 24146, 391125, 16.198335127971507, 697, 34493, 1189767049, 27863477.999999996
Physics, 1.0, 34493, 495924, 14.37752587481518, 382, 34493, 1189767049, 16521531.0
