dataset, coarsening_ratio, len_subgraph_list, tot_num_extra_nodes, avg_extra_nodes, max_extra_nodes, tot_num_orig_nodes, tot_num_orig_nodes_squared, sum_squares_subgraph_nodes
cora, 0.0, 162, 827, 5.104938271604938, 409, 2708, 7333264, 5345530.999999999
cora, 0.1, 408, 3705, 9.080882352941176, 185, 2708, 7333264, 370256.99999999994
cora, 0.3, 928, 5725, 6.169181034482759, 176, 2708, 7333264, 184105.0
cora, 0.5, 1445, 7035, 4.868512110726644, 166, 2708, 7333264, 156097.0
cora, 0.7, 1957, 8366, 4.27491057741441, 166, 2708, 7333264, 142886.0
cora, 1.0, 2708, 10556, 3.8980797636632203, 168, 2708, 7333264, 138978.0
citeseer, 0.0, 912, 1088, 1.1929824561403508, 48, 3327, 11068929, 2601549.0
citeseer, 0.1, 1123, 2911, 2.5921638468388246, 107, 3327, 11068929, 216828.0
citeseer, 0.3, 1654, 4710, 2.84764207980653, 100, 3327, 11068929, 102223.00000000001
citeseer, 0.5, 2152, 5916, 2.7490706319702602, 100, 3327, 11068929, 87121.0
citeseer, 0.7, 2663, 7124, 2.6751783702591063, 100, 3327, 11068929, 83615.0
citeseer, 1.0, 3327, 9104, 2.7363991584009617, 99, 3327, 11068929, 84474.99999999999
